"name: LYS1125mon, distance: 8830.0393762842, start time: 2024-11-25T05:57:37.173Z, duration: 14409.5519998073",time,latitude,longitude,alt,speed,course,horiz_acc,vert_acc,rel_alt
,2024-11-25T05:57:38.604Z,37.5535499834,127.0733617309,36.0831604171,1.4072570804,-,10.125,2.25,-65.4755249328
,2024-11-25T05:57:39.277Z,37.5535486842,127.0733725435,26.7255249147,1.1625518801,-,16.0,2.25,-65.7186279602
,2024-11-25T05:57:39.838Z,37.5535660766,127.0733801711,21.051849375,1.2358703616,-,16.125,2.25,-65.4015503234
,2024-11-25T05:57:40.294Z,37.5535740814,127.0733840267,17.6439209066,1.2293090823,-,16.0,2.25,-65.8771667787
,2024-11-25T05:57:40.855Z,37.5535790686,127.0733873795,15.603820808,1.1862030032,-,15.9375,2.3125,-65.9352722475
,2024-11-25T05:57:41.378Z,37.5536088663,127.0734043948,14.3839721746,1.1908111575,-,14.8125,2.3125,-65.6974792786
,2024-11-25T05:57:41.976Z,37.55361268,127.073410765,13.6549377504,1.2194671633,-,14.4375,2.3125,-65.2641601866
,2024-11-25T05:57:42.471Z,37.5536238699,127.0734299596,13.2192382874,1.2585144045,-,13.5625,2.3125,-65.4068298644
,2024-11-25T05:57:42.974Z,37.5536250852,127.0734395987,12.9588623107,1.250671387,-,13.375,2.3125,-65.3856811827
,2024-11-25T05:57:43.572Z,37.5536280608,127.0734600506,12.8032531797,1.3071136477,-,12.75,2.3125,-65.8665771791
,2024-11-25T05:57:44.113Z,37.5536282704,127.0734713662,12.7102661191,1.2839813235,-,12.1875,2.3125,-65.4173889464
,2024-11-25T05:57:44.616Z,37.5536278932,127.0734863698,12.6546630918,1.3033752444,-,11.0625,2.3125,-65.6340637512
,2024-11-25T05:57:45.152Z,37.553622864,127.0734963442,12.6214294492,1.2702484133,-,10.0625,2.3125,-65.8084411927
,2024-11-25T05:57:45.709Z,37.5536231993,127.0735300395,12.6015319882,1.2695159915,-,9.1875,2.625,-66.2523498843
,2024-11-25T05:57:46.250Z,37.5536216906,127.0735336437,12.5895996152,1.2499694827,-,8.375,2.625,-65.8084411927
,2024-11-25T05:57:46.879Z,37.5536198885,127.0735423609,12.5824890195,1.2543029788,-,8.125,2.625,-65.9617004701
,2024-11-25T05:57:47.894Z,37.5536162842,127.0735567778,12.578186041,1.252624512,-,7.4375,2.625,-66.3791809391
,2024-11-25T05:57:48.437Z,37.5536143983,127.0735632318,12.5756225644,1.2845153811,-,6.9375,2.625,-66.1625061343
,2024-11-25T05:57:49.036Z,37.5536139792,127.0735717814,12.5740661679,1.2906646731,-,6.75,2.625,-66.358062775
,2024-11-25T05:57:50.032Z,37.553619176,127.0735862821,12.573120123,1.295303345,-,6.125,2.625,-65.760894806
,2024-11-25T05:57:50.595Z,37.553624289,127.0735931552,12.572540289,1.3453979495,-,5.875,2.6875,-65.9141540834
,2024-11-25T05:57:51.207Z,37.5536296953,127.0736068177,12.5721740781,1.3822631839,-,5.75,1.4375,-65.1003113096
,2024-11-25T05:57:52.052Z,37.5536379934,127.0736115954,12.5719299374,1.2332916262,-,5.625,1.4375,-65.771453888
,2024-11-25T05:57:52.993Z,37.5536440702,127.0736171275,12.5717773496,1.2351531985,-,5.4375,1.4375,-66.8547973944
,2024-11-25T05:57:53.896Z,37.5536479678,127.0736318796,12.5716552792,1.4006652835,-,5.375,1.4375,-64.8730774227
,2024-11-25T05:57:54.637Z,37.5536491832,127.0736523315,12.5715637265,1.6296691898,-,5.375,1.5,-65.7503357239
