"name: 1118logofday, distance: 3014.4886657561, start time: 2024-11-18T06:04:43.668Z, duration: 13603.6210000514",time,latitude,longitude,alt,speed,course,horiz_acc,vert_acc,rel_alt
,2024-11-18T06:04:42.083Z,37.5495491753,127.0739730231,22.891967784,-,-,13.8125,1.5625,-
,2024-11-18T06:04:47.106Z,37.5495751592,127.0739689998,22.9230346786,0.3421173096,-,11.4375,1.125,-129.4766846306
,2024-11-18T06:04:50.011Z,37.5495768775,127.0739689998,22.9418640243,0.0865631103,-,11.9375,1.125,-128.9165344838
,2024-11-18T06:04:51.007Z,37.5495768775,127.0739689998,22.9531860458,0.0323486328,-,12.125,1.1875,-129.2705994254
,2024-11-18T06:04:52.006Z,37.5495768775,127.0739690836,22.9599609481,0.0153198242,-,12.1875,1.1875,-129.1490479117
,2024-11-18T06:04:53.007Z,37.5495767936,127.0739691674,22.9639892685,0.0069732666,-,12.4375,1.1875,-129.0961914663
,2024-11-18T06:04:54.012Z,37.5495813618,127.0739733583,22.9664001571,0.324874878,-,12.4375,1.125,-128.9693604116
,2024-11-18T06:04:55.010Z,37.549582661,127.0739746994,22.9678650009,0.2579650879,-,12.4375,1.1875,-128.70513922
,2024-11-18T06:04:56.010Z,37.5495827867,127.0739749509,22.9687194931,0.1376800537,-,12.4375,1.1875,-129.138458312
,2024-11-18T06:04:57.010Z,37.549583583,127.0739771302,22.9692077743,0.0953063965,-,20.25,1.1875,-129.4079895622
,2024-11-18T06:04:58.010Z,37.5495851755,127.0739785551,22.9695129501,0.0810394287,-,23.0625,1.1875,-129.3604126578
,2024-11-18T06:04:58.678Z,37.5495850917,127.0739808182,22.9696960556,0.0796813965,-,23.875,1.125,-129.3710022575
,2024-11-18T06:04:59.954Z,37.5495706749,127.0739838357,22.9697876083,0.0996551513,-,21.8125,1.125,-129.3973999625
,2024-11-18T06:05:00.980Z,37.5495703815,127.0739858474,22.9698486435,0.1020965576,-,21.625,1.1875,-129.2811585074
,2024-11-18T06:05:02.006Z,37.5495710939,127.0739881943,22.969879161,0.0594787597,-,18.875,1.1875,-129.3551331168
,2024-11-18T06:05:02.917Z,37.5495706749,127.0739849254,22.9699096786,0.0585479736,-,13.5,1.1875,-129.3128662711
,2024-11-18T06:05:03.830Z,37.5495701719,127.0739839195,22.9699401962,0.0699920654,-,13.125,1.125,-129.3287048942
,2024-11-18T06:05:04.970Z,37.5495670706,127.0739786389,22.9699401962,0.1101531982,-,9.8125,1.1875,-129.2652893668
,2024-11-18T06:05:06.053Z,37.5495670706,127.0739791419,22.9699401962,0.0597381591,-,9.5,1.1875,-129.2283020621
,2024-11-18T06:05:07.991Z,37.5495675735,127.0739772978,22.9699707138,0.0603637695,-,8.5,1.1875,-129.4185486442
,2024-11-18T06:05:09.017Z,37.5495672802,127.0739780522,22.9699707138,0.0536651611,-,8.125,1.1875,-129.3181458121
,2024-11-18T06:05:09.929Z,37.5495669868,127.0739775493,22.9699707138,0.0666656494,-,8.1875,1.125,-129.3023071891
,2024-11-18T06:05:11.010Z,37.5495707587,127.0739740289,22.9699707138,0.0666351318,-,9.0,1.125,-129.2811585074
,2024-11-18T06:05:12.011Z,37.549571974,127.0739723525,22.9700012313,0.1159057617,-,9.6875,1.125,-129.3340149528
,2024-11-18T06:05:13.010Z,37.5495723931,127.073971682,22.9700012313,0.0933685302,-,10.375,1.1875,-129.3287048942
,2024-11-18T06:05:14.010Z,37.5495723931,127.0739714305,22.9700012313,0.0532836914,-,11.5625,1.1875,-129.2864380484
,2024-11-18T06:05:15.010Z,37.5495723931,127.0739713467,22.9700012313,0.0268859863,-,12.3125,1.1875,-129.3498535758
,2024-11-18T06:05:16.011Z,37.5495722674,127.0739712629,22.9700012313,0.0176849365,-,12.3125,1.1875,-129.4027100211
,2024-11-18T06:05:17.010Z,37.5495577667,127.0739733583,22.9700012313,0.8299865724,-,12.3125,1.1875,-129.2864380484
,2024-11-18T06:05:18.010Z,37.5495533662,127.0739741965,22.9700012313,0.6557312013,-,12.3125,1.1875,-129.2758789664
,2024-11-18T06:05:19.011Z,37.5495527795,127.0739740289,22.9700012313,0.35546875,-,12.3125,1.25,-129.3656921989
,2024-11-18T06:05:20.010Z,37.5495530729,127.0739737774,22.9700012313,0.1537628174,-,12.3125,1.1875,-129.3710022575
