"name: , distance: 7113.8219228602, start time: 2024-11-26T05:07:39.439Z, duration: 10877.6280000209",time,latitude,longitude,alt,speed,course,horiz_acc,vert_acc,rel_alt
,2024-11-26T05:07:39.062Z,37.5520075456,127.0735942449,42.8095703324,-,-,29.9375,30.0,-
,2024-11-26T05:07:44.781Z,37.5520987407,127.0736760522,36.6499939135,-,-,23.9375,30.0,-0.0528259277
,2024-11-26T05:07:51.607Z,37.55208051,127.0736770581,28.0370178353,-,-,28.875,30.0,-0.1532287598
,2024-11-26T05:07:57.781Z,37.5521275744,127.0735986035,28.4635620249,-,-,36.75,30.0,-0.0026245117
,2024-11-26T05:08:03.753Z,37.5520885147,127.073572871,37.659973162,-,-,28.875,30.0,0.3144226075
,2024-11-26T05:08:09.174Z,37.5520930829,127.0735814206,31.0492553855,1.0532684328,-,26.4375,24.1875,0.5416564943
,2024-11-26T05:08:21.816Z,37.552102303,127.0735854439,37.2266845876,-,-,28.875,30.0,0.2932739259
,2024-11-26T05:08:27.689Z,37.5521370041,127.0736602104,35.5099792645,-,-,29.875,30.0,0.4253845216
,2024-11-26T05:08:33.843Z,37.5520282489,127.0737708516,28.0199890267,-,-,29.875,30.0,0.517883301
,2024-11-26T05:08:39.854Z,37.5521364592,127.0736347295,35.8984069991,-,-,29.875,30.0,0.7398376468
,2024-11-26T05:08:45.721Z,37.5521171809,127.0735846895,36.1823120285,-,-,28.875,30.0,0.7583312991
,2024-11-26T05:08:51.173Z,37.5520871317,127.0735867011,31.8443603663,0.0,-,25.9375,146.3125,0.7213439944
,2024-11-26T05:08:52.173Z,37.5520889758,127.0735838513,31.7962646632,0.0,-,20.5625,134.5625,0.7266235354
,2024-11-26T05:08:53.173Z,37.5520868803,127.0735836837,31.7963256984,0.0,-,26.0,134.5625,0.7266235354
,2024-11-26T05:08:54.173Z,37.5520714995,127.0735787383,31.7525329737,0.0,-,26.5625,146.9375,0.7213439944
,2024-11-26T05:08:55.173Z,37.5520581723,127.0735768105,31.6578369288,0.0,-,28.3125,167.5,-
,2024-11-26T05:08:56.173Z,37.5520591781,127.0735794089,31.6579284815,0.0,-,27.875,167.5,0.7213439944
,2024-11-26T05:08:57.174Z,37.5520740141,127.0735794089,31.5996093897,0.0,-,29.375,143.125,0.7503967288
,2024-11-26T05:08:58.174Z,37.5520810968,127.07358075,31.5885009912,0.0,-,30.625,364.0,0.7794799808
,2024-11-26T05:08:59.174Z,37.5520896463,127.0735830969,31.5197754053,0.0,-,31.75,149.4375,0.8138122562
,2024-11-26T05:09:00.174Z,37.5521564501,127.0736286107,31.5029907373,0.0,-,18.8125,326.5625,0.8719482425
,2024-11-26T05:09:01.174Z,37.55216852,127.0736396748,25.0624084589,1.5068054202,-,28.0,20.25,0.9089355472
,2024-11-26T05:09:01.995Z,37.5521744712,127.0736495654,26.2407226684,0.6126556397,-,19.875,16.5625,0.9089355472
,2024-11-26T05:09:02.995Z,37.5522003293,127.0736656587,26.2406921508,0.6126556397,0.0,26.4375,16.5625,0.8957214359
,2024-11-26T05:09:03.995Z,37.5522035564,127.0737008627,26.3783264282,0.6126556397,-,25.6875,14.5,0.8719482425
,2024-11-26T05:09:04.995Z,37.5522449211,127.0737273495,26.861938489,0.6915283204,0.0,24.8125,13.0625,0.8375854496
,2024-11-26T05:09:05.995Z,37.5522781134,127.0737248349,27.3049926884,1.8474578861,-,24.25,11.5,0.7926940921
,2024-11-26T05:09:06.995Z,37.5522930332,127.0737402576,27.6553650031,1.8474578861,-,24.0625,11.0625,-
,2024-11-26T05:09:07.995Z,37.5522473937,127.0737103342,27.2327270634,1.8474578861,-,19.6875,10.6875,0.7741699222
,2024-11-26T05:09:08.995Z,37.5522911053,127.0737433589,27.2030029423,1.7706756595,-,22.5625,10.4375,0.7556762698
,2024-11-26T05:09:09.995Z,37.5523023371,127.0737621344,27.020507825,1.6432037357,-,22.125,10.1875,0.7371826175
,2024-11-26T05:09:10.995Z,37.5523000321,127.0737594522,27.182556165,1.6432037357,-,21.1875,10.0,0.7054748538
,2024-11-26T05:09:11.995Z,37.5522941647,127.0737524952,27.1200866825,0.1537628174,-,20.6875,9.9375,0.6790466311
,2024-11-26T05:09:12.995Z,37.5522068253,127.073717375,57.9024963648,0.7553863527,-,13.875,19.8125,0.652648926
,2024-11-26T05:09:13.995Z,37.5521968089,127.0737246673,54.1407470955,0.3435974121,188.1437399862,15.625,19.6875,0.6288452151
,2024-11-26T05:09:14.995Z,37.5521913607,127.0737249187,49.1623535385,0.5431365968,-,14.1875,17.4375,0.6156311038
,2024-11-26T05:09:15.995Z,37.5521855772,127.0737062271,49.0434875716,0.6701507569,-,14.3125,16.875,0.5839233401
,2024-11-26T05:09:16.995Z,37.5521742616,127.0737079873,48.5901184308,0.6407318116,-,18.5,20.4375,0.5654296877
,2024-11-26T05:09:17.995Z,37.55215184,127.0737144414,45.5537719938,0.8366394044,-,17.4375,20.5,0.5310974123
,2024-11-26T05:09:18.994Z,37.5521149177,127.0736983481,45.6017151091,1.4109039309,178.5030899519,16.625,21.875,0.5020141603
,2024-11-26T05:09:19.994Z,37.552112026,127.0737015332,42.380767842,1.2740478518,174.8610666056,16.8125,19.5625,0.4650268556
,2024-11-26T05:09:20.994Z,37.5521137862,127.0737047183,40.0304870791,0.5127868653,-,13.5625,22.8125,-
,2024-11-26T05:09:21.994Z,37.5521332322,127.0737017009,40.3333435246,0.1288452148,-,22.9375,23.125,0.4597473146
,2024-11-26T05:09:22.994Z,37.5521364592,127.0737008627,39.7924804872,0.1527709961,-,24.3125,23.125,0.4597473146
,2024-11-26T05:09:23.994Z,37.5521377165,127.0737097475,38.9894714537,0.1639709473,-,23.1875,23.0625,0.4993896486
,2024-11-26T05:09:24.994Z,37.5521344057,127.0736978452,37.2223510915,0.2834472656,-,19.75,22.8125,0.5495910647
,2024-11-26T05:09:25.994Z,37.5521328969,127.0736977614,36.9443359547,0.6964263917,57.8933394369,19.0625,21.6875,0.5865783694
,2024-11-26T05:09:26.994Z,37.552124976,127.0736939057,35.612670915,0.8038177492,71.2034790569,18.75,21.3125,0.6579284671
,2024-11-26T05:09:27.994Z,37.5521308853,127.073670604,38.2603454768,0.6864471437,-,18.8125,20.1875,0.7081298831
,2024-11-26T05:09:28.994Z,37.5521336932,127.0736628926,37.2845459157,0.8757476808,-,20.9375,18.8125,0.7530517581
,2024-11-26T05:09:29.994Z,37.5521334837,127.0736638985,37.2845459157,0.0,-,22.0,19.0,0.7794799808
,2024-11-26T05:09:30.994Z,37.5521461822,127.0736704364,37.2845459157,0.0,-,19.3125,18.625,0.8111877445
,2024-11-26T05:09:31.994Z,37.5521461822,127.0736704364,37.2845459157,0.0,-,24.5625,18.9375,0.8402404789
,2024-11-26T05:09:32.994Z,37.5521461822,127.0736704364,37.2845459157,0.0,-,24.5625,22.25,0.8983764652
,2024-11-26T05:09:33.994Z,37.5521461822,127.0736704364,37.2845459157,0.0,-,24.5625,22.3125,0.945922852
,2024-11-26T05:09:34.994Z,37.5521394767,127.0736670836,37.2845459157,0.0,-,16.8125,22.9375,-
,2024-11-26T05:09:35.994Z,37.5521374651,127.0736660778,37.2845459157,0.0,-,13.75,23.5625,1.0172729496
,2024-11-26T05:09:36.994Z,37.5521310529,127.0736447039,37.2845459157,0.0,-,11.6875,23.8125,1.080688477
,2024-11-26T05:09:37.994Z,37.5521315139,127.0736482243,37.2845459157,0.0,-,10.5625,24.3125,1.1520385747
,2024-11-26T05:09:38.994Z,37.5521318073,127.0736506551,37.2845459157,0.0,-,9.6875,24.4375,1.2154541021
,2024-11-26T05:09:39.994Z,37.5521318073,127.0736506551,37.2845459157,0.0,-,9.6875,24.25,1.2683105474
,2024-11-26T05:09:40.994Z,37.5521320168,127.0736523315,37.2845459157,0.0,-,9.0625,24.3125,1.3185119635
,2024-11-26T05:09:41.994Z,37.5521320168,127.0736524153,37.2845459157,0.0,-,9.0625,23.5625,1.3687133795
,2024-11-26T05:09:42.994Z,37.5521321006,127.0736456259,37.2845459157,0.0,-,8.625,23.1875,1.4057006842
,2024-11-26T05:09:43.994Z,37.5521321006,127.0736456259,37.2845459157,0.0,-,8.625,23.25,1.4083251959
,2024-11-26T05:09:44.994Z,37.5521322683,127.0736475538,37.2845459157,0.0,-,8.125,23.75,1.4083251959
,2024-11-26T05:09:45.994Z,37.5521322683,127.0736475538,37.2845459157,0.0,-,8.125,23.5,1.4057006842
,2024-11-26T05:09:46.994Z,37.5521323521,127.0736491463,37.2845459157,0.0,309.1764705882,7.75,24.875,1.4030456549
,2024-11-26T05:09:47.994Z,37.5521323521,127.0736491463,37.2845459157,0.0,309.1764705882,7.75,24.875,1.3898315436
,2024-11-26T05:09:48.994Z,37.552133316,127.0736477214,37.2845459157,0.0,-,7.5,24.875,-
,2024-11-26T05:09:49.994Z,37.552133316,127.0736489787,37.2845459157,0.0,-,7.1875,25.4375,1.3766174322
,2024-11-26T05:09:50.994Z,37.552133316,127.0736489787,37.2845459157,0.0,-,7.1875,25.375,1.3607788092
,2024-11-26T05:09:51.994Z,37.552133316,127.0736500683,37.2845459157,0.0,-,6.9375,26.0625,1.3290710455
,2024-11-26T05:09:52.994Z,37.5521333579,127.0736509903,37.2845459157,0.0,-,6.6875,26.3125,1.2868041998
,2024-11-26T05:09:53.994Z,37.5521333579,127.0736518285,37.2845459157,0.0,-,6.5,26.5,1.2339477544
,2024-11-26T05:09:54.994Z,37.5521333579,127.0736524991,37.2845459157,0.0,-,6.3125,26.75,1.1837463384
,2024-11-26T05:09:55.994Z,37.5521333579,127.0736524991,37.2845459157,0.0,-,6.3125,26.5625,1.1308898931
,2024-11-26T05:09:56.994Z,37.5521333579,127.0736530858,37.2845459157,0.0,-,6.125,27.0625,1.0727539067
,2024-11-26T05:09:57.994Z,37.5521289993,127.0736526667,37.2845459157,0.0,-,6.0,26.375,1.0199279789
,2024-11-26T05:09:58.994Z,37.5521311786,127.0736509903,37.2845459157,0.0,-,6.0,26.0625,0.9776306156
,2024-11-26T05:09:59.994Z,37.5521311786,127.0736509903,37.2845459157,0.0,-,6.0,25.75,0.9432983402
,2024-11-26T05:10:00.994Z,37.5521311786,127.0736509903,37.2845459157,0.0,-,6.0,24.875,0.8983764652
,2024-11-26T05:10:01.994Z,37.5521313044,127.0736516609,37.2845459157,0.0,-,5.8125,25.0625,0.8561096195
,2024-11-26T05:10:02.994Z,37.5521313044,127.0736517447,37.2845459157,0.0,-,5.8125,24.4375,-
,2024-11-26T05:10:03.994Z,37.5521313044,127.0736517447,37.2845459157,0.0,-,5.8125,23.6875,0.7979736331
,2024-11-26T05:10:04.994Z,37.5521314301,127.0736523315,37.2845459157,0.0,-,5.625,24.0625,0.7556762698
,2024-11-26T05:10:05.994Z,37.5521314301,127.0736524153,37.2845459157,0.0,-,5.625,23.5,0.6764221194
,2024-11-26T05:10:06.994Z,37.5521314301,127.0736524153,37.2845459157,0.0,-,5.625,23.125,0.5997924807
,2024-11-26T05:10:07.994Z,37.5521314301,127.0736524153,37.2845459157,0.0,-,5.625,23.375,0.5152282717
,2024-11-26T05:10:08.994Z,37.5521314301,127.0736524153,37.2845459157,0.0,-,5.625,23.125,0.438598633
,2024-11-26T05:10:09.994Z,37.5521315558,127.073653002,37.2845459157,0.0,-,5.5,23.4375,0.3593444825
,2024-11-26T05:10:10.994Z,37.5521316396,127.0736535887,37.2845459157,0.0,-,5.375,23.625,0.3064880372
,2024-11-26T05:10:11.994Z,37.5521316396,127.0736535887,37.2845459157,0.0,-,5.3125,23.0,0.2510070801
,2024-11-26T05:10:12.994Z,37.5521317235,127.0736540917,37.2845459157,0.0,-,5.1875,23.25,0.2219238282
,2024-11-26T05:10:13.994Z,37.5521317235,127.0736540917,37.2845459157,0.0,-,5.1875,23.0,0.1717224121
,2024-11-26T05:10:14.994Z,37.5521317235,127.0736540917,37.2845459157,0.0,-,5.1875,22.375,0.1215209961
,2024-11-26T05:10:15.994Z,37.5521318073,127.0736545107,37.2845459157,0.0,-,5.125,22.75,0.0739746094
,2024-11-26T05:10:16.994Z,37.5521318911,127.0736549298,37.2845459157,0.0,-,5.0,23.125,-
,2024-11-26T05:10:17.994Z,37.552131933,127.0736552651,37.2845459157,0.0,-,4.875,23.3125,0.0528259277
,2024-11-26T05:10:18.994Z,37.5521319749,127.0736556004,37.2845459157,0.0,-,4.8125,23.875,0.0237731933
,2024-11-26T05:10:19.994Z,37.5521319749,127.0736556004,37.2845459157,0.0,-,4.8125,23.875,0.0237731933
,2024-11-26T05:10:20.994Z,37.5521320168,127.0736558519,37.2845459157,0.0,-,4.75,24.1875,0.026397705
,2024-11-26T05:10:21.994Z,37.5521321006,127.0736561033,37.2845459157,0.0,-,4.625,24.375,0.0633850097
,2024-11-26T05:10:22.994Z,37.5521321006,127.0736563548,37.2845459157,0.0,-,4.5625,24.8125,0.1215209961
